sym	enstxids	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
SHPK	ENST00000225519	3.5	4.02	3.06	3.23	1.82	5.07	2.31	3.95	3.74	5.47	1.03	4.28
SHPRH	ENST00000367503	2.92	2.67	2.88	2.43	1.7	2.54	2.01	2.93	2.54	3.87	1.92	3.91
SHQ1	ENST00000325599	9.07	9.26	6.9	9.23	8.74	8.69	10.88	13.85	6.64	11.68	11.63	18.32
SHROOM1	ENST00000378679	7.15	4.55	6.57	5.89	2.76	7.73	9.38	4.21	12.52	5.1	2.96	4.93
SIAE	ENST00000263593	2.48	4.66	2.91	2.9	4.61	3.41	7.39	21.3	15.3	11.93	30.86	13.1
SIAH1	ENST00000356721	6.66	5.26	6.62	6.36	3.12	7.15	1.9	5.1	2.27	2.49	2.58	4.49
SIGMAR1	ENST00000277010	60.14	85.3	54.84	81.08	116.8	65.67	73.34	101.36	91.14	123.04	135.58	61.89
SIK1	ENST00000270162	1.52	1.0	1.0	2.79	3.21	2.68	1.0	1.0	1.01	1.64	2.37	2.55
SIK2	ENST00000304987	8.35	5.54	9.1	7.09	4.92	6.33	13.56	10.0	14.15	8.01	9.6	9.42
SIK3	ENST00000375300	7.71	4.4	7.82	7.37	4.97	6.53	4.84	4.33	7.5	4.85	4.67	5.82
SIL1	ENST00000509534	19.62	32.3	22.89	21.74	50.96	24.6	59.24	69.0	67.06	68.05	138.9	50.95
SIN3A	ENST00000394947	13.82	9.8	12.46	9.56	4.04	12.17	18.34	13.63	20.23	14.01	8.8	21.18
SIPA1	ENST00000394224	14.99	12.9	15.97	14.7	9.99	18.27	12.68	6.61	12.46	8.93	4.22	6.23
SIPA1L1	ENST00000555818	14.81	14.22	12.53	13.76	8.97	10.64	6.26	5.83	5.75	5.32	4.42	4.32
SIPA1L3	ENST00000222345	22.54	14.4	17.43	20.73	7.45	22.9	11.51	7.38	14.09	16.38	3.5	9.84
SIRT1	ENST00000212015	7.75	7.14	7.13	7.96	4.1	6.69	6.73	7.2	5.69	9.55	5.23	8.54
SIRT3	ENST00000382743	5.54	4.93	5.45	4.9	3.67	6.18	7.62	5.94	9.46	5.86	3.55	7.05
SIRT5	ENST00000379250	4.32	4.22	4.46	3.74	2.66	2.16	8.34	2.96	3.87	2.15	1.68	1.54
SIRT6	ENST00000337491	11.43	9.18	12.06	15.61	13.79	10.74	30.39	10.9	20.08	21.47	11.32	10.61
SIRT7	ENST00000328666	14.43	10.28	14.48	17.67	14.65	15.22	15.66	7.86	15.13	16.42	8.02	6.7
SIX1	ENST00000247182	2.61	2.36	3.13	1.82	1.0	2.96	10.6	9.53	11.45	4.11	1.22	7.94
SIX4	ENST00000216513	5.43	6.28	7.38	5.45	3.18	5.24	4.05	6.33	10.02	4.71	3.78	5.07
SIX5	ENST00000317578	4.03	3.98	6.52	2.86	3.49	6.41	2.79	2.75	7.56	1.58	1.0	2.12
SKAP2	ENST00000345317	8.08	11.59	14.85	13.33	18.68	7.59	27.7	33.15	35.85	35.03	56.59	23.06
SKIL	ENST00000458537	8.94	6.95	7.93	6.59	3.25	4.41	15.17	10.34	10.41	5.54	6.39	8.62
SKIV2L	ENST00000375394	14.8	10.7	12.83	15.04	17.17	14.66	9.68	8.83	10.79	17.49	13.25	9.47
SKIV2L2	ENST00000230640	28.21	19.42	24.24	31.76	19.15	21.96	40.57	38.0	34.91	42.85	40.87	51.74
SLAIN2	ENST00000264313	23.86	18.81	18.54	31.17	36.02	20.18	18.42	22.67	17.15	18.5	66.72	26.29
SLAMF7	ENST00000368043	1.0	1.0	1.0	1.0	1.76	1.0	1.0	1.0	1.0	1.0	8.11	1.0
SLBP	ENST00000318386	41.16	43.47	26.3	33.9	23.52	35.78	104.26	89.53	61.23	54.99	37.21	78.58
SLC10A3	ENST00000393586	25.83	26.32	27.71	22.21	43.33	19.7	6.68	6.37	7.1	6.49	14.3	4.69
SLC11A2	ENST00000394904	9.98	9.49	12.03	10.26	15.46	15.92	15.91	12.72	14.32	13.22	29.27	21.16
SLC12A2	ENST00000262461	25.25	7.56	43.26	17.24	5.19	5.39	54.16	19.04	100.79	51.29	27.24	15.84
SLC12A4	ENST00000422611	26.55	23.77	26.41	22.73	33.06	21.45	34.71	26.84	45.5	51.02	61.45	24.7
SLC12A6	ENST00000354181	5.36	6.68	9.34	6.58	5.99	5.64	3.2	5.65	7.73	7.42	10.78	5.11
SLC12A9	ENST00000354161	10.73	9.87	10.71	8.25	7.03	9.46	16.14	8.59	14.44	11.4	9.79	6.17
SLC15A4	ENST00000266771	11.37	10.97	13.57	10.49	15.77	9.82	14.06	17.54	21.44	18.92	37.05	15.88
SLC16A1	ENST00000538576	20.59	19.6	16.16	24.11	26.58	16.97	75.62	87.54	57.68	107.13	193.02	89.92
SLC16A2	ENST00000276033	34.03	32.02	25.69	31.01	35.89	18.1	44.18	64.95	36.4	53.07	99.63	42.9
SLC16A3	ENST00000392341	280.89	218.1	231.12	226.2	243.42	409.03	417.16	269.44	362.6	422.75	355.7	471.35
SLC17A9	ENST00000370351	32.07	21.87	31.92	35.27	27.91	12.04	26.83	17.43	28.82	28.6	33.22	7.37
SLC19A2	ENST00000236137	1.69	1.37	1.99	3.04	2.0	2.4	2.12	1.27	1.37	2.02	2.85	1.87
SLC1A5	ENST00000542575	240.44	139.1	270.84	196.57	122.26	163.75	456.32	247.77	730.75	533.84	333.9	270.99
SLC22A17	ENST00000397267	1.0	1.0	1.0	1.0	1.0	8.66	1.0	1.98	1.0	1.0	1.0	9.18
SLC22A4	ENST00000200652	6.7	8.27	8.94	6.53	11.99	14.79	8.36	13.1	10.55	13.24	25.04	21.16
SLC23A2	ENST00000379333	9.37	5.16	8.46	9.72	4.03	6.77	8.46	5.07	7.41	18.51	9.75	7.73
SLC24A6	ENST00000552014	5.23	3.86	7.05	4.17	2.35	6.19	4.15	3.57	8.37	2.48	2.48	5.5
SLC25A11	ENST00000225665	33.21	30.81	23.73	36.41	32.39	36.16	35.98	34.81	19.1	32.06	23.0	28.64
SLC25A12	ENST00000422440	11.02	10.94	10.76	14.02	10.58	12.11	11.47	16.79	14.37	15.2	15.07	17.67
SLC25A13	ENST00000416240	6.65	6.31	4.85	8.67	5.97	9.91	10.89	10.39	6.2	12.86	9.2	17.69
SLC25A16	ENST00000265870	8.37	7.07	7.5	8.89	9.0	7.86	3.85	6.85	2.66	6.7	6.88	4.32
SLC25A17	ENST00000435456	14.46	13.96	11.09	17.15	15.62	15.7	39.79	31.98	19.6	45.65	42.43	34.99
SLC25A22	ENST00000320230	18.48	19.52	19.0	23.41	13.76	23.97	14.36	13.63	24.69	27.04	7.87	15.52
SLC25A24	ENST00000264128	32.29	30.47	26.44	29.85	19.14	27.38	115.27	79.98	71.96	71.2	62.81	76.15
SLC25A25	ENST00000373069	6.9	9.65	5.94	8.67	11.74	10.03	10.53	10.06	8.52	8.0	11.68	8.97
SLC25A26	ENST00000354883	4.11	4.08	4.81	4.98	4.54	5.4	6.18	5.12	3.61	1.01	4.32	3.68
SLC25A28	ENST00000370495	15.16	11.03	12.87	13.44	10.79	13.2	11.26	6.11	13.99	16.66	5.32	6.63
SLC25A3	ENST00000228318	233.53	202.68	241.2	240.61	216.2	213.53	360.64	368.48	269.05	306.63	375.52	320.76
SLC25A30	ENST00000519676	6.96	8.17	6.72	8.3	9.12	6.45	18.84	14.62	9.7	9.94	15.88	9.3
SLC25A32	ENST00000297578	18.21	15.22	14.84	23.46	18.98	16.97	45.01	37.77	23.69	56.5	50.99	48.75
SLC25A36	ENST00000324194	10.83	11.1	15.12	10.4	9.27	9.24	14.91	5.44	6.14	8.41	6.87	9.3
SLC25A38	ENST00000273158	20.66	14.95	20.67	23.77	26.47	20.1	8.29	11.93	7.0	9.51	13.11	6.81
SLC25A39	ENST00000377095	62.01	53.38	53.05	65.96	89.37	77.27	18.29	7.28	11.29	28.36	7.57	7.24
SLC25A4	ENST00000281456	5.26	13.28	4.57	7.44	26.94	14.28	5.01	16.23	8.51	5.6	36.25	16.73
SLC25A43	ENST00000217909	10.61	12.29	11.37	10.84	7.83	10.7	5.23	6.53	8.82	5.22	3.14	3.73
SLC25A44	ENST00000359511	13.18	13.2	11.46	14.67	15.12	16.68	8.99	2.62	3.3	5.67	4.69	4.31
SLC25A46	ENST00000355943	24.78	21.51	26.59	31.66	32.19	18.95	32.97	21.42	33.87	36.22	39.28	17.27
SLC25A5	ENST00000317881	332.87	160.35	225.12	328.29	134.06	189.11	517.96	242.42	236.08	383.46	199.85	284.41
SLC26A11	ENST00000411502	5.56	5.2	6.26	5.29	8.56	11.18	5.87	4.0	8.54	4.69	12.84	7.01
SLC26A2	ENST00000286298	5.74	6.22	6.56	7.67	7.89	9.42	4.52	11.34	4.79	5.35	29.06	19.63
SLC27A1	ENST00000252595	4.87	5.22	6.84	3.23	2.45	3.01	4.32	7.2	10.81	6.21	2.6	2.14
SLC27A3	ENST00000271857	1.7	1.75	3.02	1.06	1.0	1.44	1.06	2.51	6.53	1.58	1.0	1.11
SLC27A4	ENST00000300456	12.03	14.26	12.97	15.22	19.82	14.92	8.88	8.81	10.47	14.56	19.35	9.21
SLC29A1	ENST00000313248	32.52	15.54	30.71	38.36	11.99	26.95	38.88	18.01	35.76	46.53	17.57	33.36
SLC2A11	ENST00000398356	2.08	2.5	2.54	2.39	5.73	2.38	1.0	1.0	1.69	2.21	3.39	1.0
SLC2A12	ENST00000275230	1.0	1.98	2.24	1.0	1.0	1.0	1.84	2.2	3.18	1.0	1.92	1.0
SLC2A13	ENST00000280871	2.47	2.13	3.8	3.65	2.45	1.41	6.02	3.66	9.56	7.65	8.22	3.12
SLC2A3	ENST00000075120	12.11	11.81	18.14	19.04	21.02	10.06	17.77	19.91	30.86	38.39	68.45	24.52
SLC2A8	ENST00000373371	3.11	4.19	2.87	2.22	8.54	5.96	1.66	3.55	3.25	1.63	5.4	1.84
SLC30A1	ENST00000367001	6.77	6.59	6.41	4.63	7.07	2.93	20.74	18.24	20.28	19.11	34.4	7.49
SLC30A4	ENST00000261867	2.05	3.46	3.42	2.43	5.37	3.13	1.0	1.58	2.07	1.0	5.8	1.42
SLC30A6	ENST00000379343	8.58	15.66	9.69	9.37	12.75	11.52	8.91	19.91	11.58	17.45	32.27	22.0
SLC30A9	ENST00000264451	23.77	28.04	23.72	26.24	30.62	24.29	16.65	12.02	9.72	7.65	20.42	13.56
SLC31A1	ENST00000374212	13.62	20.94	18.71	16.01	43.25	22.56	34.5	58.17	49.78	32.13	151.87	63.53
SLC31A2	ENST00000259392	1.0	1.04	1.0	1.04	3.02	1.0	1.25	7.41	1.0	1.0	18.31	7.95
SLC33A1	ENST00000392845	10.47	10.39	15.68	13.89	16.26	11.98	12.23	17.38	13.43	14.3	43.26	22.88
SLC35A1	ENST00000369552	5.59	6.03	7.12	6.22	8.62	6.2	5.37	9.19	6.84	2.48	23.75	7.87
SLC35A2	ENST00000452555	16.53	16.41	20.05	17.06	19.33	15.34	18.77	12.88	21.24	19.44	21.43	10.91
SLC35A5	ENST00000492406	7.57	11.06	8.78	6.51	8.7	7.81	13.47	11.19	10.28	15.23	16.57	8.77
SLC35B1	ENST00000415270	42.42	33.99	37.95	46.95	57.36	49.18	24.6	29.65	20.81	33.63	65.85	32.23
SLC35B2	ENST00000393812	58.87	69.68	69.34	71.66	115.24	67.41	61.53	57.26	57.98	61.59	113.24	44.24
SLC35B4	ENST00000378509	7.66	8.75	7.13	7.64	8.41	7.14	8.71	8.33	4.9	6.55	10.04	7.85
SLC35C1	ENST00000314134	12.71	13.06	16.66	15.92	20.99	12.08	9.56	7.31	19.45	15.74	17.23	7.29
SLC35D1	ENST00000235345	9.58	10.26	8.61	12.5	10.65	14.03	17.5	17.17	14.64	22.72	35.49	25.04
SLC35D2	ENST00000253270	5.92	9.05	10.32	8.74	10.89	12.42	1.75	4.88	4.7	1.32	6.26	4.72
SLC35E1	ENST00000409648	24.24	22.76	30.04	24.85	39.18	23.78	15.55	19.95	22.69	23.21	47.8	15.99
SLC35E3	ENST00000398004	3.98	3.45	4.11	4.36	5.13	4.08	5.04	8.34	8.75	6.75	23.81	9.32
SLC35F5	ENST00000245680	17.67	27.52	27.6	19.31	70.59	33.19	20.98	40.28	36.11	26.94	190.35	59.01
SLC35G1	ENST00000427197	3.22	2.14	2.02	3.01	2.62	1.85	3.0	2.65	1.77	4.12	5.46	1.6
SLC36A1	ENST00000243389	6.43	7.42	8.02	8.79	9.49	6.02	1.9	3.87	3.05	4.33	9.42	3.18
SLC36A4	ENST00000326402	8.81	6.68	9.51	7.63	4.31	7.76	2.99	3.07	4.96	3.76	3.21	4.53
SLC38A10	ENST00000374759	27.01	33.3	31.12	20.98	33.39	35.57	37.54	37.21	70.4	47.13	48.98	40.51
SLC38A4	ENST00000447411	4.89	2.99	4.71	2.59	1.0	1.0	7.88	2.04	4.29	3.05	1.11	1.02
SLC38A6	ENST00000354886	5.38	8.16	8.21	7.34	10.26	5.67	4.44	5.58	4.61	5.13	11.88	4.94
SLC38A7	ENST00000219320	9.49	9.94	10.66	11.69	18.01	9.54	11.83	8.7	9.66	14.34	29.67	7.93
SLC38A9	ENST00000396865	3.39	3.72	5.09	3.86	6.8	5.29	6.0	5.18	4.56	6.45	17.27	8.19
SLC39A1	ENST00000368623	46.61	51.14	54.57	42.42	36.15	45.69	91.83	66.28	107.98	114.5	48.24	51.25
SLC39A10	ENST00000409086	5.8	10.41	5.82	6.49	10.54	7.74	6.73	18.66	7.47	8.52	36.54	16.12
SLC39A11	ENST00000542342	6.52	9.77	9.96	5.67	6.93	7.09	16.83	14.43	23.39	10.74	16.48	11.25
SLC39A13	ENST00000362021	28.63	48.89	52.5	31.76	52.08	45.77	50.65	54.25	100.8	67.79	50.25	37.98
SLC39A3	ENST00000545664	19.52	16.53	16.23	16.3	32.93	10.77	19.18	10.03	20.1	17.39	21.38	4.19
SLC39A4	ENST00000301305	2.01	3.67	2.63	2.59	4.18	2.69	1.57	4.64	3.24	2.93	3.31	1.64
SLC39A6	ENST00000269187	44.22	52.85	54.8	43.08	74.05	56.4	34.24	39.34	36.28	31.96	106.64	49.03
SLC39A7	ENST00000374677	99.52	111.96	129.11	99.82	120.24	107.84	144.59	119.12	174.92	167.14	189.1	113.17
SLC3A2	ENST00000377892	97.04	47.99	98.47	97.88	61.38	88.09	222.5	109.12	230.24	206.48	147.78	194.09
SLC41A1	ENST00000367137	14.73	14.35	15.48	15.46	16.25	13.89	5.56	2.74	6.56	3.58	4.57	2.54
SLC41A2	ENST00000258538	1.0	1.66	1.45	1.0	3.27	1.0	1.0	2.45	1.0	1.0	7.27	1.0
SLC41A3	ENST00000315891	16.07	15.13	17.17	16.64	30.09	13.86	19.36	14.9	17.01	21.2	38.28	13.41
SLC43A1	ENST00000278426	5.36	4.7	8.8	6.33	2.1	5.17	8.77	4.42	14.78	6.48	2.69	3.94
SLC43A2	ENST00000382147	1.0	2.28	1.0	1.0	4.26	2.58	1.04	2.96	1.3	1.0	10.91	4.22
SLC48A1	ENST00000432662	10.96	7.56	12.92	9.92	12.41	6.35	29.45	7.07	40.78	6.65	11.13	3.88
SLC4A11	ENST00000380059	1.39	1.82	1.79	1.35	1.49	4.03	1.81	2.01	2.17	2.55	1.99	5.01
SLC4A1AP	ENST00000326019	15.57	12.94	13.61	18.45	17.64	15.96	26.88	25.63	28.17	25.2	29.42	29.75
SLC4A2	ENST00000485713	36.13	36.54	28.57	36.68	43.46	42.82	20.28	22.42	25.44	32.93	34.49	25.13
SLC4A4	ENST00000425175	2.13	3.19	1.0	3.07	3.65	1.11	3.75	6.03	1.78	7.64	11.8	3.38
SLC4A8	ENST00000453097	5.95	6.63	6.61	7.18	8.41	3.56	4.69	4.79	5.19	3.72	5.96	3.33
SLC50A1	ENST00000368404	13.61	15.42	20.63	16.11	27.43	15.46	15.48	17.7	21.93	22.62	24.67	20.26
SLC5A6	ENST00000310574	19.55	12.23	11.95	19.0	5.3	16.68	17.99	7.17	13.84	27.28	5.6	14.56
SLC6A17	ENST00000331565	1.07	2.16	1.39	1.06	1.75	1.0	1.89	3.67	2.55	1.61	4.66	1.9
SLC6A6	ENST00000454876	25.83	23.26	36.25	22.67	8.48	45.9	57.86	63.52	92.45	66.39	38.78	154.59
SLC6A8	ENST00000328897	2.89	4.01	2.54	4.43	9.01	6.11	1.0	1.0	1.52	3.21	1.79	1.39
SLC7A6	ENST00000219343	6.51	5.59	5.31	5.02	4.21	4.63	4.62	5.27	7.19	5.3	9.55	6.55
SLC7A6OS	ENST00000263997	3.14	1.77	2.46	3.19	2.66	2.29	17.56	10.17	15.05	21.42	8.79	12.62
SLC7A7	ENST00000397532	1.0	1.0	1.47	1.04	2.78	2.42	1.0	1.23	2.51	1.31	3.34	1.35
SLC8A3	ENST00000381269	1.0	1.0	1.0	1.0	1.0	1.14	1.0	1.0	1.0	1.0	1.0	1.58
SLC9A1	ENST00000263980	28.04	19.3	35.44	32.9	29.35	21.6	21.57	15.4	35.59	29.2	41.73	20.58
SLC9A3R2	ENST00000424542	67.39	53.37	49.07	62.55	45.13	74.84	93.17	62.44	75.18	52.16	34.81	77.46
SLC9A5	ENST00000299798	2.65	2.31	3.06	2.84	1.82	3.04	1.0	1.0	2.09	2.99	1.0	1.0
SLC9A6	ENST00000370695	7.93	10.13	10.15	7.17	13.13	9.19	8.67	13.89	10.79	12.0	30.34	11.33
SLC9A7	ENST00000328306	10.43	13.34	12.57	12.27	26.02	9.98	18.98	18.44	20.62	22.52	56.28	20.78
SLC9A8	ENST00000417961	6.07	5.01	5.85	5.04	3.01	4.26	8.79	6.82	6.78	8.4	6.83	5.38
SLC9A9	ENST00000316549	1.0	1.25	1.97	1.0	1.0	1.0	1.0	1.43	3.09	1.0	1.75	1.07
SLC9B2	ENST00000394785	7.15	14.33	5.34	9.28	10.1	8.48	3.26	10.46	2.27	4.77	13.2	3.36
SLCO2A1	ENST00000310926	1.0	1.0	1.0	1.0	1.0	4.42	1.0	1.73	1.0	1.0	1.0	9.63
SLCO3A1	ENST00000318445	1.0	1.78	1.0	1.0	1.27	2.52	1.0	1.98	1.0	1.0	1.75	3.44
SLFN12	ENST00000394562	3.56	6.14	2.9	3.1	9.88	5.93	6.99	8.46	2.99	4.43	17.87	10.25
SLK	ENST00000369755	17.27	15.75	21.45	20.28	11.51	15.3	28.77	37.33	37.62	32.41	37.42	49.97
SLMAP	ENST00000428312	10.86	13.67	11.28	12.7	12.99	15.5	2.92	6.56	5.45	8.08	7.55	7.9
SLMO2	ENST00000355937	30.37	22.66	27.39	35.83	24.67	25.73	91.56	61.95	55.95	65.52	60.19	66.59
SLTM	ENST00000380516	28.1	19.04	24.65	28.23	15.39	26.09	51.52	27.56	47.67	48.73	26.35	40.93
SLU7	ENST00000297151	10.64	10.9	13.44	13.42	11.81	11.46	28.51	28.43	27.75	21.39	29.67	29.96
SLX4	ENST00000294008	6.42	3.77	4.19	5.47	3.67	4.26	3.24	2.12	2.22	2.71	2.1	2.38
SMAD1	ENST00000515385	2.93	4.49	3.6	2.92	3.02	8.37	1.58	6.35	5.05	3.11	4.04	8.39
SMAD2	ENST00000262160	8.95	8.31	9.73	9.44	7.94	8.18	18.55	27.06	19.95	20.62	23.03	21.66
SMAD4	ENST00000342988	8.42	9.14	10.11	7.21	3.6	8.24	27.73	17.2	27.83	15.84	8.65	16.5
SMAP1	ENST00000370455	7.89	4.17	8.15	7.77	5.0	4.27	20.89	21.67	16.56	9.78	26.07	15.86
SMAP2	ENST00000372718	25.9	21.18	20.19	33.85	22.55	25.09	28.42	26.4	26.08	47.88	35.38	33.29
SMARCA1	ENST00000371122	35.07	37.8	46.22	36.96	41.18	46.61	65.27	81.72	80.45	54.1	109.46	120.08
SMARCA2	ENST00000382203	8.56	16.16	11.74	7.86	7.24	14.63	9.68	23.24	20.73	13.01	11.6	25.92
SMARCA4	ENST00000421844	52.49	34.43	34.15	50.85	31.24	54.54	51.11	38.25	49.6	70.22	31.08	58.77
SMARCA5	ENST00000283131	17.42	21.62	16.5	18.87	17.01	28.1	56.14	67.96	45.34	56.11	75.54	105.12
SMARCAD1	ENST00000359052	6.69	10.16	6.66	6.77	6.9	9.86	10.68	18.15	8.04	8.08	16.98	17.69
SMARCAL1	ENST00000357276	18.5	16.6	16.35	17.6	16.37	14.66	10.87	9.65	7.71	6.95	9.35	8.19
SMARCB1	ENST00000344921	66.05	41.96	60.55	54.46	22.44	53.37	108.54	57.73	81.33	76.84	20.18	61.43
SMARCC1	ENST00000254480	34.81	26.2	29.15	31.76	19.39	23.81	57.93	45.53	43.53	43.53	32.94	48.72
SMARCC2	ENST00000550164	41.64	24.82	35.46	29.7	14.22	27.57	46.43	25.82	43.91	32.64	15.63	31.56
SMARCD1	ENST00000394963	26.21	17.85	25.26	23.19	10.8	23.53	19.58	16.27	19.87	16.76	7.41	16.86
SMARCD3	ENST00000262188	8.27	10.08	8.64	7.03	10.18	6.47	7.04	6.92	6.44	5.19	3.23	2.75
SMARCE1	ENST00000348513	29.03	29.11	27.99	26.65	17.42	38.4	97.22	58.05	57.65	58.23	28.77	66.39
SMC1A	ENST00000322213	23.5	19.19	15.94	16.09	5.41	17.09	87.1	64.05	55.37	65.02	25.2	77.11
SMC3	ENST00000361804	37.03	22.44	27.04	29.02	7.94	17.16	64.09	44.33	38.69	32.61	20.65	47.76
SMC5	ENST00000361138	8.92	10.28	8.93	8.61	4.99	8.0	10.35	15.01	10.32	12.81	10.1	15.65
SMC6	ENST00000381272	14.12	7.98	12.65	11.43	3.76	8.16	9.65	8.72	9.0	6.39	4.69	13.07
SMCHD1	ENST00000320876	15.25	12.53	13.28	12.76	4.83	12.85	12.99	13.91	11.37	7.9	8.62	16.42
SMCR7	ENST00000395706	4.52	8.21	5.01	4.37	19.92	5.89	5.03	9.27	12.58	5.99	24.56	5.25
SMCR7L	ENST00000402881	17.29	17.36	15.98	21.8	26.49	18.39	6.1	2.94	4.85	8.97	3.45	3.0
SMCR8	ENST00000406438	10.55	8.77	9.57	11.95	9.35	7.69	5.87	5.07	6.3	9.58	7.45	5.02
SMEK1	ENST00000554943	20.55	17.2	18.58	21.4	14.17	22.16	11.0	11.46	7.93	8.76	12.89	15.73
SMG1	ENST00000389467	24.22	16.95	22.16	21.39	13.99	15.65	8.28	6.56	7.98	13.3	6.29	8.33
SMG5	ENST00000361813	49.03	36.72	41.14	52.44	40.56	44.61	9.51	7.87	8.29	15.85	7.64	8.53
SMG6	ENST00000263073	14.02	17.76	15.59	17.14	11.48	22.2	9.95	12.61	9.19	11.2	6.76	16.77
SMG7	ENST00000507469	23.62	18.74	18.51	25.54	24.63	25.38	6.11	4.12	4.64	7.86	6.51	4.78
SMG8	ENST00000300917	10.91	13.08	9.77	12.09	16.08	14.36	10.81	11.49	9.94	9.9	19.16	17.52
SMG9	ENST00000270066	31.19	20.34	28.86	25.81	9.29	19.36	33.07	21.23	38.49	29.34	9.73	20.58
SMPD1	ENST00000342245	31.42	50.45	38.06	32.87	62.25	31.98	45.21	47.06	41.11	33.9	79.88	23.07
SMPD2	ENST00000258052	3.73	3.09	4.22	3.62	2.17	3.86	7.02	3.09	5.4	4.08	1.85	2.76
SMPD4	ENST00000409031	47.57	31.05	33.8	36.52	19.32	34.89	14.53	14.05	13.59	19.89	9.02	16.54
SMU1	ENST00000397149	8.0	10.37	6.89	8.94	8.83	12.73	48.76	63.43	34.8	40.27	64.89	76.62
SMURF1	ENST00000361125	10.84	12.15	9.21	12.16	11.47	13.87	9.23	11.46	8.6	6.48	10.55	10.15
SMURF2	ENST00000262435	62.94	93.35	47.52	75.95	167.35	160.9	19.54	38.74	15.89	30.47	68.95	63.16
SMYD4	ENST00000305513	5.57	4.82	4.35	5.34	2.92	5.82	6.54	5.48	4.43	4.99	2.74	6.55
SMYD5	ENST00000389501	24.03	13.46	16.84	23.79	12.65	16.29	22.97	16.91	23.47	31.96	11.9	23.62
SNAP25	ENST00000254976	1.76	1.6	1.57	1.7	1.0	1.98	5.16	2.11	2.82	2.7	1.0	5.66
SNAP29	ENST00000215730	16.33	14.63	16.76	16.41	23.45	15.79	55.02	41.02	35.36	42.44	46.66	32.57
SNAP47	ENST00000366759	13.3	12.92	12.22	15.19	16.69	17.2	13.51	13.98	11.02	10.8	9.54	9.27
SNAPC2	ENST00000221573	17.39	12.37	16.5	18.34	8.75	17.4	17.81	11.59	16.34	11.83	4.76	12.95
SNAPC4	ENST00000298532	4.79	3.95	3.35	4.95	5.04	7.17	3.83	3.4	3.66	6.49	2.46	5.39
SNCAIP	ENST00000261367	1.0	1.0	1.0	1.03	1.0	1.66	1.0	1.0	1.0	1.0	1.0	1.47
SND1	ENST00000354725	105.23	111.73	126.96	128.84	139.87	125.41	155.36	161.79	154.18	153.97	226.14	182.99
SNF8	ENST00000502492	33.68	24.77	32.74	36.34	29.47	38.89	94.4	59.01	75.66	89.83	40.62	73.25
SNIP1	ENST00000296215	8.99	7.98	8.49	10.04	7.64	9.31	23.13	18.33	15.46	18.69	14.45	16.62
SNPH	ENST00000381867	8.31	5.33	9.71	11.23	8.4	12.83	10.98	2.97	6.34	9.73	3.5	6.27
SNRK	ENST00000296088	6.47	5.65	11.81	7.18	4.85	6.57	12.02	4.37	11.79	5.9	4.35	8.89
SNRNP200	ENST00000323853	74.62	47.58	60.52	65.55	35.01	58.91	72.08	49.88	67.05	55.24	41.45	67.21
SNRNP27	ENST00000409116	21.48	21.96	17.27	24.36	29.59	21.96	60.15	86.96	48.82	54.74	60.69	77.48
SNRNP35	ENST00000412157	7.04	8.35	6.99	7.27	6.94	10.11	24.02	21.18	17.0	18.16	10.69	27.35
SNRNP40	ENST00000446633	35.26	27.6	24.94	33.64	14.39	36.75	53.68	34.2	40.24	31.16	17.25	32.06
SNRNP70	ENST00000221448	121.99	87.44	87.47	108.38	76.95	111.56	385.53	105.34	302.76	358.83	81.05	166.21
SNRPA	ENST00000243563	72.25	33.56	45.29	56.23	20.75	42.45	132.47	52.8	87.91	85.36	37.99	67.23
SNRPB2	ENST00000246071	41.89	26.46	34.33	49.54	26.68	33.66	128.59	84.15	77.56	96.28	81.04	102.31
SNRPC	ENST00000374017	104.49	59.36	74.78	109.71	65.95	69.96	267.84	151.18	142.76	163.68	121.2	146.42
SNRPD1	ENST00000300413	54.61	37.74	36.13	56.23	22.43	51.07	162.07	199.72	76.82	92.99	82.83	207.54
SNRPD3	ENST00000215829	62.79	38.52	44.24	65.28	45.13	48.75	303.85	268.17	232.96	218.78	218.82	265.87
SNTA1	ENST00000217381	8.31	7.05	9.69	5.97	5.43	4.82	3.17	3.64	5.63	2.43	1.15	1.84
SNTB2	ENST00000336278	17.3	16.54	27.74	18.57	11.1	12.68	57.53	34.71	98.04	41.56	28.76	27.35
SNUPN	ENST00000371091	9.69	11.15	11.35	8.76	7.59	9.45	9.62	16.85	11.28	8.17	7.48	11.29
SNX1	ENST00000261889	23.84	26.17	25.06	23.49	26.95	26.08	63.06	56.6	71.88	60.19	41.65	47.4
SNX11	ENST00000393405	7.69	9.75	7.54	9.63	14.98	12.71	1.77	6.98	3.69	6.18	7.49	5.89
SNX12	ENST00000374274	29.58	34.65	33.28	33.17	42.33	29.01	59.06	73.22	67.39	70.51	63.82	68.89
SNX13	ENST00000242044	7.11	9.23	9.76	7.4	10.87	6.95	2.46	3.81	3.03	2.72	7.69	4.42
SNX14	ENST00000314673	19.44	21.75	22.13	20.48	29.85	21.91	20.09	23.72	20.59	17.44	62.91	24.08
SNX15	ENST00000377244	19.79	10.69	24.21	18.36	8.63	13.26	23.1	19.66	39.05	17.08	9.46	16.6
